entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-20T13:11:19.495785+09:00,2026-07-21T13:11:31.331425+09:00,ID,0.03,7582614,32.0,45.75,46.03,47.28,+0.61,1440,타임아웃24h
2026-07-20T13:16:37.210660+09:00,2026-07-21T13:16:43.733124+09:00,NEX,0.00,6000000,106.0,0.0024,0.0025,0.0025,+4.17,1440,타임아웃24h
2026-07-21T13:00:30.537427+09:00,2026-07-21T13:18:14.883685+09:00,HEMI,0.13,5882627,16.8,8.888,8.426,9.031,-5.20,18,손절-3.0%
2026-07-20T13:21:55.129877+09:00,2026-07-21T13:22:16.888521+09:00,KAIA,0.28,3355490,33.6,45.91,47.49,47.67,+3.44,1440,타임아웃24h
2026-07-21T13:14:29.113896+09:00,2026-07-21T13:27:09.661031+09:00,DEXE,0.00,3704654,11.1,49340,47750,49650,-3.22,13,손절-3.0%
2026-07-20T17:38:31.592663+09:00,2026-07-21T13:27:52.412330+09:00,JTO,0.27,6250940,20.4,852,867,912,+1.76,1189,트레일(고점+7.0%)
2026-07-21T13:17:05.985361+09:00,2026-07-21T13:34:10.047347+09:00,NEX,0.00,6000000,106.0,0.0025,0.0024,0.0025,-4.00,17,손절-3.0%
2026-07-21T09:49:08.293037+09:00,2026-07-21T13:35:37.924177+09:00,CSPR,0.01,3447190,17.4,2.381,2.303,2.465,-3.28,226,손절-3.0%
2026-07-20T13:39:10.673882+09:00,2026-07-21T13:39:18.261509+09:00,SAHARA,0.11,5577282,46.1,12.93,13.17,13.3,+1.86,1440,타임아웃24h
2026-07-20T13:43:03.667748+09:00,2026-07-21T13:43:21.738474+09:00,OPG,0.15,6522208,31.1,149,154,157,+3.36,1440,타임아웃24h
2026-07-20T13:56:24.703958+09:00,2026-07-21T13:56:36.768043+09:00,ALT,0.29,3241253,15.4,9.004,9.264,9.289,+2.89,1440,타임아웃24h
2026-07-20T13:58:17.948628+09:00,2026-07-21T13:58:27.348577+09:00,CHIP,0.13,3928062,44.4,43.17,43.6,44.01,+1.00,1440,타임아웃24h
2026-07-20T14:02:04.951412+09:00,2026-07-21T14:02:08.213647+09:00,SOON,0.00,5180558,31.0,225,239,240,+6.22,1440,타임아웃24h
2026-07-20T14:09:39.536347+09:00,2026-07-21T14:09:51.660566+09:00,BIRB,0.06,7918863,16.6,77.5,82.62,85,+6.61,1440,타임아웃24h
2026-07-20T14:12:40.275156+09:00,2026-07-21T14:12:47.326195+09:00,ONDO,0.11,19186648,76.4,501,531,533,+5.99,1440,타임아웃24h
2026-07-20T14:13:48.333210+09:00,2026-07-21T14:13:53.419553+09:00,OGN,0.15,3079123,16.0,24.3,25.05,25.25,+3.09,1440,타임아웃24h
2026-07-20T14:14:10.976084+09:00,2026-07-21T14:14:15.369071+09:00,SOMI,0.17,3537505,12.6,139,149,151,+7.19,1440,타임아웃24h
2026-07-20T14:20:59.364211+09:00,2026-07-21T14:21:00.450848+09:00,ARB,0.25,5558317,10.8,127,131,133,+3.15,1440,타임아웃24h
2026-07-20T14:24:00.605753+09:00,2026-07-21T14:24:22.094918+09:00,BLUR,0.12,4625730,47.3,21.99,22.66,23.16,+3.05,1440,타임아웃24h
2026-07-20T14:26:16.622943+09:00,2026-07-21T14:26:36.545928+09:00,IN,0.12,15387294,98.2,58.24,60.94,61.24,+4.64,1440,타임아웃24h
2026-07-20T14:26:39.409128+09:00,2026-07-21T14:26:58.888327+09:00,SC,0.11,3958077,16.9,0.852,0.8718,0.8718,+2.32,1440,타임아웃24h
2026-07-21T09:55:22.894676+09:00,2026-07-21T14:36:44.828169+09:00,RE,0.04,3700016,15.4,534,538,566,+0.75,281,트레일(고점+6.0%)
2026-07-21T13:35:58.442770+09:00,2026-07-21T14:38:37.305593+09:00,CSPR,0.01,3447190,17.4,2.303,2.231,2.312,-3.13,63,손절-3.0%
2026-07-21T13:34:52.224635+09:00,2026-07-21T14:39:22.436047+09:00,XEC,0.25,15257362,459.0,0.0106,0.0102,0.0106,-3.77,65,손절-3.0%
2026-07-20T14:48:46.663371+09:00,2026-07-21T14:49:00.918912+09:00,HFT,0.04,3858441,92.5,12.57,13.17,13.33,+4.77,1440,타임아웃24h
2026-07-20T14:52:54.711940+09:00,2026-07-21T14:53:01.310042+09:00,SHIB,0.00,4987531,16.6,0.0061,0.0063,0.0063,+3.28,1440,타임아웃24h
