exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-07-01 09:38:41,ONG,1.96,75.4300,77.6900,+3.00,트레일(고점+4.7%),False
2026-07-01 09:39:20,TAIKO,2.75,168.0000,172.0000,+2.38,트레일(고점+5.4%),False
2026-07-01 09:41:05,TAIKO,10.95,160.0000,172.0000,+7.50,트레일(고점+8.7%),True
2026-07-01 09:42:28,TAIKO,1.56,172.0000,175.0000,+1.74,트레일(고점+2.9%),False
2026-07-01 09:44:54,EDGE,1.80,112.0000,111.0000,-0.89,타임아웃15분,False
2026-07-01 09:47:03,TAIKO,3.96,168.0000,169.0000,+0.60,트레일(고점+2.4%),True
2026-07-01 09:48:49,RE,1.60,980.0000,994.0000,+1.43,트레일(고점+2.7%),False
2026-07-01 09:51:03,TAIKO,2.26,165.0000,165.0000,+0.00,트레일(고점+1.2%),False
2026-07-01 09:53:17,TAIKO,1.67,164.0000,161.0000,-1.83,손절-1.5%,False
2026-07-01 09:55:27,TAIKO,1.65,160.0000,160.0000,+0.00,트레일(고점+1.2%),False
2026-07-01 09:56:05,TAIKO,2.88,159.0000,160.0000,+0.63,트레일(고점+1.9%),False
2026-07-01 09:58:21,TAIKO,1.64,160.0000,157.0000,-1.88,손절-1.5%,False
2026-07-01 10:01:29,TAIKO,2.29,156.0000,163.0000,+4.49,트레일(고점+5.8%),False
2026-07-01 10:01:44,AI,1.55,56.8800,55.9600,-1.62,손절-1.5%,False
2026-07-01 10:02:54,TAIKO,1.63,162.0000,169.0000,+4.32,트레일(고점+5.6%),False
2026-07-01 10:05:46,TAIKO,2.33,177.0000,173.0000,-2.26,손절-1.5%,False
2026-07-01 10:05:54,TAIKO,5.83,173.0000,172.0000,-0.58,트레일(고점+1.2%),True
2026-07-01 10:06:47,TAIKO,6.33,167.0000,172.0000,+2.99,트레일(고점+4.8%),True
2026-07-01 10:08:14,AI,2.98,55.0200,55.6500,+1.15,트레일(고점+2.2%),False
2026-07-01 10:09:12,TAIKO,2.91,174.0000,184.0000,+5.75,트레일(고점+6.9%),False
2026-07-01 10:10:11,TAIKO,2.84,183.0000,185.0000,+1.09,트레일(고점+2.2%),False
2026-07-01 10:12:18,TAIKO,1.77,189.0000,189.0000,+0.00,트레일(고점+1.1%),False
2026-07-01 10:12:33,AI,2.42,54.9000,55.1100,+0.38,트레일(고점+1.5%),False
2026-07-01 10:14:29,TAIKO,1.77,189.0000,189.0000,+0.00,트레일(고점+1.1%),False
2026-07-01 10:15:15,TAIKO,2.28,189.0000,186.0000,-1.59,손절-1.5%,False
2026-07-01 10:19:18,AI,2.54,53.2700,53.7000,+0.81,트레일(고점+1.9%),False
2026-07-01 10:23:43,EDGE,1.80,110.0000,115.0000,+4.55,트레일(고점+6.4%),False
2026-07-01 10:25:19,TOKAMAK,1.75,514.0000,520.0000,+1.17,트레일(고점+2.3%),False
2026-07-01 10:25:51,CPOOL,1.96,29.6900,29.6900,+0.00,타임아웃15분,False
2026-07-01 10:27:51,EDGE,1.71,116.0000,118.0000,+1.72,트레일(고점+3.4%),False
2026-07-01 10:29:05,POWR,1.68,64.8300,65.1000,+0.42,타임아웃15분,False
2026-07-01 10:29:10,HBAR,1.92,105.0000,106.0000,+0.95,타임아웃15분,False
2026-07-01 10:30:38,TAIKO,1.74,211.0000,218.0000,+3.32,트레일(고점+4.7%),False
2026-07-01 10:30:41,EDGE,1.65,119.0000,120.0000,+0.84,트레일(고점+2.5%),False
2026-07-01 10:33:48,TAIKO,3.65,204.0000,207.0000,+1.47,트레일(고점+3.4%),True
2026-07-01 10:34:00,EDGE,1.67,120.0000,118.0000,-1.67,손절-1.5%,False
2026-07-01 10:34:54,TAIKO,2.71,204.0000,199.0000,-2.45,손절-1.5%,False
2026-07-01 10:37:24,EDGE,1.64,120.0000,118.0000,-1.67,손절-1.5%,False
2026-07-01 10:43:06,TAIKO,1.75,204.0000,200.0000,-1.96,손절-1.5%,False
2026-07-01 10:48:22,IN,1.98,102.0000,102.0000,+0.00,트레일(고점+2.0%),False
2026-07-01 10:50:25,EDGE,4.15,118.0000,122.0000,+3.39,트레일(고점+5.1%),True
2026-07-01 10:50:39,IN,2.97,103.0000,103.0000,+0.00,트레일(고점+1.9%),False
2026-07-01 10:53:13,EDGE,1.63,123.0000,123.0000,+0.00,트레일(고점+1.6%),False
2026-07-01 11:05:17,EDGE,1.63,123.0000,123.0000,+0.00,트레일(고점+1.6%),False
2026-07-01 11:10:28,IN,2.00,103.0000,101.0000,-1.94,손절-1.5%,False
2026-07-01 11:12:14,ENA,1.83,110.0000,110.0000,+0.00,타임아웃15분,False
2026-07-01 11:13:55,EDGE,1.56,130.0000,128.0000,-1.54,손절-1.5%,False
2026-07-01 11:24:38,CPOOL,2.73,30.1100,30.3200,+0.70,타임아웃15분,False
2026-07-01 11:24:48,EDGE,2.44,122.0000,123.0000,+0.82,트레일(고점+2.5%),False
2026-07-01 11:30:47,TAIKO,1.72,206.0000,202.0000,-1.94,손절-1.5%,False
2026-07-01 11:34:52,EDGE,2.47,121.0000,121.0000,+0.00,트레일(고점+1.7%),False
2026-07-01 11:39:59,SLX,2.42,713.0000,699.0000,-1.96,손절-1.5%,False
2026-07-01 11:41:10,TAIKO,2.17,202.0000,198.0000,-1.98,손절-1.5%,False
2026-07-01 11:41:51,TAIKO,5.67,192.0000,196.0000,+2.08,트레일(고점+3.1%),True
2026-07-01 11:43:24,EDGE,1.67,122.0000,128.0000,+4.92,트레일(고점+6.6%),False
